id,company,role,seniority,category,difficulty,question_text,rubric,follow_up_hints
q01,Generic,software_engineer,junior,technical,1,"What is a REST API, and how does it differ from calling a function in the same process?","Strong answers: HTTP methods and resources, statelessness, JSON payloads, status codes, client-server separation. Mentions idempotency of GET/PUT vs POST. Contrast with in-process calls: network latency, serialization, failure modes.","Ask them to name common HTTP status codes they would return for success vs validation errors."
q02,Generic,software_engineer,mid,technical,3,"Explain the Python GIL. What kinds of workloads does it limit, and how do you work around it?","Strong answers: GIL serializes bytecode execution in CPython; CPU-bound threads do not run in parallel; I/O-bound threads can still make progress. Workarounds: multiprocessing, C extensions that release the GIL, asyncio for I/O, alternative interpreters.","Ask when they would choose multiprocessing over threading."
q03,Generic,software_engineer,senior,system_design,4,"Design a URL shortener like bit.ly. Walk through API, data model, uniqueness, and scale.","Strong answers: create/redirect APIs, encoding id to short code (base62), uniqueness via autoincrement or hash+collision handling, 301/302 tradeoffs, caching hot keys, analytics, custom aliases, rate limiting. Mentions read-heavy traffic and key-value store or SQL with cache.","Ask how they would handle a sudden spike in redirects for one popular link."
q04,Generic,software_engineer,mid,behavioral,2,"Tell me about a time you disagreed with a teammate on a technical decision. What did you do?","Strong answers: specific situation, data or prototypes used to compare options, listening to the other view, compromise or escalation path, outcome and what they learned. Avoids blaming. STAR structure.","Ask what they would do differently if the disagreement happened again."
q05,Generic,software_engineer,junior,behavioral,1,"How do you handle constructive feedback on your code in a pull request?","Strong answers: assumes good intent, asks clarifying questions, applies feedback, follows up if they disagree with evidence. Mentions learning from review comments rather than taking them personally.","Ask for a concrete example of feedback that changed how they write code."
q06,Generic,data_engineer,junior,technical,2,"What is the difference between a transactional database and a data warehouse?","Strong answers: OLTP vs OLAP, row vs columnar storage, normalized vs star/snowflake schemas, latency vs throughput, serving apps vs analytics. Examples of when to use each.","Ask why running heavy analytics on the production OLTP database is risky."
q07,Generic,data_engineer,mid,technical,3,"Explain table partitioning versus clustering or sorting. When would you use each in a warehouse or lakehouse?","Strong answers: partitioning prunes files/partitions on filter columns (date, region); clustering/sorting improves locality within partitions. Tradeoffs: too many partitions, partition explosion, choosing a high-cardinality key.","Ask how they would partition a 2-year events table queried mostly by day."
q08,Generic,data_engineer,senior,system_design,4,"Design a pipeline that ingests both nightly batch files and real-time events into a warehouse that analysts can query.","Strong answers: ingestion (files + Kafka/Kinesis), staging, schema evolution, idempotent loads, late data, watermarking, batch+streaming merge (kappa/lambda or modern lakehouse), data quality checks, SLAs, backfills.","Ask how they would recover if yesterday's batch job failed after writing partial data."
q09,Generic,ai_engineer,junior,technical,2,"What is a vector embedding, and why is it useful for search?","Strong answers: dense numeric representation of meaning; similar items are close in vector space; cosine/dot-product similarity; used for semantic search beyond keyword match. Mentions tokenization at a high level.","Ask how embeddings differ from a bag-of-words TF-IDF vector."
q10,Generic,ai_engineer,mid,technical,3,"When would you use retrieval-augmented generation (RAG) instead of fine-tuning a model?","Strong answers: RAG for up-to-date or proprietary knowledge, citations, cheaper iteration; fine-tuning for style, format, or behavior that is hard to prompt. Mentions hybrid approaches, evaluation, and hallucination risk if retrieval is weak.","Ask what they would measure to know if retrieval quality is the bottleneck."
q11,Google,software_engineer,mid,technical,3,"At Google scale, how would you think about ranking a list of search results? Describe features and tradeoffs, not proprietary secrets.","Strong answers: relevance vs freshness vs personalization vs spam; query understanding; inverted index + ranking stages (retrieval then scoring); offline metrics vs online A/B tests; latency budget for multi-stage ranking.","Ask how they would detect that a ranking change improved relevance but hurt page load."
q12,Google,software_engineer,senior,system_design,5,"Design a collaborative document editor (Google Docs-style) with concurrent editing and low latency.","Strong answers: OT or CRDT, presence/cursors, persistence, conflict resolution, session affinity vs stateless, websockets, snapshots + ops log, ACLs, offline edit then merge. Mentions consistency vs availability.","Ask what happens if two users edit the same word while one is briefly offline."
q13,Google,ai_engineer,mid,technical,3,"How would you evaluate an LLM-based answer for factual accuracy when the source of truth is an internal document corpus?","Strong answers: groundedness/citation checks against retrieved docs, human eval rubrics, golden question sets, faithfulness vs relevance, hallucination rate, automated NLI or overlap metrics as weak signals.","Ask how they would handle a correct answer that is not in the retrieved context."
q14,Amazon,software_engineer,mid,behavioral,3,"Tell me about a time you delivered results under a tight deadline. How did you decide what to cut?","Strong answers: customer impact and Leadership Principles flavor (Deliver Results, Bias for Action) without name-dropping only. Prioritization, communication of risk, incremental delivery, post-mortem. Concrete metrics.","Ask what they communicated to stakeholders when scope had to change."
q15,Amazon,software_engineer,senior,system_design,5,"Design a shopping-cart service that stays consistent as customers add items, apply discounts, and check out at high QPS.","Strong answers: cart ownership per user, inventory reservation vs eventual stock check, idempotent add-to-cart, pricing service, promotions, checkout as a saga, hot keys (popular SKUs), durability, multi-AZ. Mentions consistency of price at checkout.","Ask how they would prevent overselling a limited deal item."
q16,Amazon,data_engineer,mid,technical,3,"How would you model and store metadata for a large object store (S3-like): buckets, keys, versions, and access patterns?","Strong answers: key-value plus metadata index, partition by bucket/prefix, versioning, listing prefixes is a hard access pattern, eventually consistent listing vs strongly consistent read-after-write tradeoffs at a conceptual level.","Ask how LIST of a huge prefix can stay fast enough for console users."
q17,Amazon,data_engineer,senior,system_design,4,"Design a clickstream analytics platform for an e-commerce site: ingest, process, and serve funnel metrics with about a 5-minute lag.","Strong answers: event schema, partitioning by event time, sessionization, exactly-once or at-least-once with idempotent aggregates, late events, serving layer (OLAP or pre-agg tables), privacy/PII, backfill.","Ask how a clock-skewed mobile client would affect event-time windows."
q18,Meta,software_engineer,junior,technical,2,"What is a database index, and when can an index hurt write performance?","Strong answers: B-tree vs hash at a high level, speeds equality/range lookups, extra storage, slower inserts/updates because indexes must be maintained. Choose columns used in WHERE/JOIN.","Ask whether they would index a column with only two distinct values and why or why not."
q19,Meta,software_engineer,mid,system_design,4,"Design a news-feed system that generates a personalized ranked list of posts for hundreds of millions of users.","Strong answers: fan-out on write vs fan-out on read vs hybrid, ranking service, caching timelines, celebrity/hot-key problem, pagination, media CDN, ranking features, eventual consistency of 'likes' counts.","Ask how they would handle a celebrity posting to 50 million followers."
q20,Meta,ai_engineer,senior,technical,4,"How would you build and evaluate a ranking model that orders posts in a social feed?","Strong answers: candidate generation then ranking, pointwise/pairwise/listwise losses, offline AUC vs online engagement metrics, position bias, calibration, exploration vs exploitation, integrity/safety constraints, feedback loops.","Ask how they would detect that the model is over-optimizing short-term clicks at the expense of long-term retention."
